,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
Bundesliga,2016,8,Werder Bremen,34,13,6,15,61,64,45,42.99272,-18.00728,38.446054,60.546285000000005,-3.4537149999999954,52.968759999999996,-14.522706,13.044259385183484,7.620510598785328,213,236,38.82170000000001,-6.178299999999993
Bundesliga,2016,9,Borussia M.Gladbach,34,12,9,13,45,49,45,45.82175500000001,0.8217550000000102,42.778103,44.43866599999999,-4.561334000000009,40.649773999999994,2.128329000000001,11.283653801335863,12.481378067136342,211,218,47.3139,2.3138999999999967
Bundesliga,2016,10,Schalke 04,34,11,10,13,45,40,43,44.857644,-0.14235599999999948,41.823690000000006,43.870802999999995,3.870802999999995,36.205816999999996,5.6178729999999995,9.253571015098235,10.940175942132933,182,211,46.36529999999999,3.3652999999999906
Bundesliga,2016,11,Eintracht Frankfurt,34,11,9,14,36,43,42,43.59054099999999,7.5905409999999875,39.01461499999999,38.332900000000016,-4.667099999999984,35.301797,3.7128180000000026,8.079183165759172,10.2841845284244,171,164,50.6843,8.6843
Bundesliga,2016,12,Bayer Leverkusen,34,11,8,15,53,55,41,53.104216,0.10421600000000097,46.28453699999999,50.380264000000004,-4.619735999999996,48.10692399999999,-1.8223869999999986,8.118763344438092,9.692457441748335,287,173,49.6337,8.633699999999997
Bundesliga,2016,13,Augsburg,34,9,11,14,35,51,38,33.88274999999999,-1.1172500000000127,30.851640999999994,52.261885,1.2618849999999995,48.472999,-17.621358,11.783889089843663,8.127520443504764,100,248,34.80509999999999,-3.194900000000011
Bundesliga,2016,14,Hamburger SV,34,10,8,16,33,61,38,31.914013,-1.0859869999999994,30.311258999999996,57.140190999999994,-3.8598090000000056,51.065757000000005,-20.754498000000005,9.26465885661896,6.278069029794092,164,215,31.510199999999998,-6.4898000000000025
Bundesliga,2016,15,Mainz 05,34,10,7,17,44,55,37,42.36353,-1.6364700000000028,37.059098,43.231438,-11.768562000000003,40.200331,-3.1412329999999993,8.978062600508746,7.412323811428691,164,189,46.474799999999995,9.474799999999995
Bundesliga,2016,16,Wolfsburg,34,10,7,17,34,52,37,44.465999,10.465998999999996,42.19266999999999,46.85182900000001,-5.148170999999991,43.062941,-0.8702710000000009,12.42098010814292,10.940054561506715,168,174,46.379,9.378999999999998
Bundesliga,2016,17,Ingolstadt,34,8,8,18,36,57,32,44.510902000000016,8.510902000000016,38.448692000000015,49.189039,-7.810960999999999,43.09756499999999,-4.648873,8.215791591426045,7.226474434645627,224,177,42.537000000000006,10.537000000000006
Bundesliga,2016,18,Darmstadt,34,7,4,23,28,63,25,33.906823,5.906823000000003,28.602392000000002,68.041058,5.041058000000007,61.97600199999999,-33.373610000000006,14.510748772645046,7.027988434104969,129,292,26.471899999999998,1.471899999999998
Bundesliga,2017,1,Bayern Munich,34,27,3,4,92,28,84,76.54890499999999,-15.45109500000001,70.48668500000001,30.63783501,2.63783501,27.32137101,43.16531399000001,8.482018588084465,22.416086722169087,375,117,73.51970000000001,-10.480299999999986
Bundesliga,2017,2,Schalke 04,34,18,9,7,53,37,63,46.829516,-6.170484000000002,39.251743999999995,39.4193487,2.4193487000000005,34.860437700000006,4.391306299999999,9.815007985403682,9.419936218489811,150,168,51.69470000000001,-11.305299999999988
Bundesliga,2017,3,Bayer Leverkusen,34,15,10,9,58,44,55,56.98282599999999,-1.0171740000000113,53.193926999999995,36.921523,-7.0784769999999995,32.374942,20.818985000000005,9.635306365632232,11.064621769666365,274,171,61.538499999999985,6.538499999999985
Bundesliga,2017,4,Hoffenheim,34,15,10,9,66,48,55,50.71606,-15.283940000000001,46.783332999999985,45.195158,-2.8048420000000007,42.16404500000001,4.619288000000001,11.712857246548195,11.589915240816948,251,202,49.85540000000001,-5.14459999999999
Bundesliga,2017,5,Borussia Dortmund,34,15,10,9,64,47,55,66.097937,2.0979370000000017,61.551267,40.855982,-6.144018000000003,38.58264199999999,22.968624999999996,8.524170258204336,15.415998507690821,289,172,63.15569999999999,8.155699999999989
Bundesliga,2017,6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.422302000000016,-5.577697999999984,47.633493,47.422263,-5.577736999999999,43.63338399999999,4.000108999999998,8.640599019390994,9.876323803943286,259,183,48.4744,-4.525599999999997
Bundesliga,2017,7,VfB Stuttgart,34,15,6,13,36,36,51,37.912172,1.9121719999999982,35.638844999999996,39.35057299999999,3.35057299999999,34.803906,0.834939000000001,12.531421540324896,11.286631499898201,148,204,46.668299999999995,-4.331700000000005
Bundesliga,2017,8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.059284,-3.940716000000002,39.543732,40.90861200000001,-4.091387999999988,38.635284000000006,0.9084479999999999,9.628260788595746,10.06902952794825,193,160,47.19269999999998,-1.8073000000000192
Bundesliga,2017,9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.247335,4.247335,45.943067,52.08875200000001,0.0887520000000066,49.057635000000005,-3.114568000000001,12.05473187718202,12.08167056322067,209,250,48.930399999999985,1.9303999999999846
Bundesliga,2017,10,Hertha Berlin,34,10,13,11,43,46,43,38.575184500000006,-4.424815499999994,34.78630149999999,44.714014999999996,-1.2859850000000037,39.409575999999994,-4.6232744999999955,12.663579309677829,10.4250071601872,115,227,41.8905,-1.109499999999997
Bundesliga,2017,11,Werder Bremen,34,10,12,12,37,40,42,38.50837,1.5083699999999993,38.50837,43.465298,3.465297999999997,40.251511,-1.743141000000001,12.121320787938053,10.278130960859837,186,195,42.695899999999995,0.6958999999999946
Bundesliga,2017,12,Augsburg,34,10,11,13,43,46,41,42.262212000000005,-0.7377879999999948,39.23111200000001,40.81558,-5.184420000000003,38.542249999999996,0.6888619999999999,10.598276704984421,9.517158533155314,154,228,45.89750000000001,4.897500000000008
Bundesliga,2017,13,Hannover 96,34,10,9,15,44,54,39,41.21836900000001,-2.78163099999999,37.28787500000001,54.36270800000001,0.362708000000012,51.331678000000004,-14.043803,11.094258493844293,8.561662271706677,174,224,39.58369999999999,0.5836999999999932
Bundesliga,2017,14,Mainz 05,34,9,9,16,38,52,36,31.64673,-6.353269999999998,28.615612,45.17964200000001,-6.820357999999992,39.87521100000001,-11.259599000000005,10.78146320483375,7.893671691508704,147,223,37.9186,1.9185999999999979
Bundesliga,2017,15,Freiburg,34,8,12,14,32,56,36,36.982345,4.982345000000002,29.404562999999996,45.660265,-10.339734999999997,41.87136600000001,-12.466803,13.677984209734353,9.28863191266408,165,204,40.820299999999996,4.820299999999996
Bundesliga,2017,16,Wolfsburg,34,6,15,13,36,48,33,32.1054943,-3.8945057000000034,27.363924300000004,49.430158999999996,1.4301589999999962,42.46206299999999,-15.098138700000002,14.019682026347041,10.214229415104297,139,237,34.7997,1.7997000000000014
Bundesliga,2017,17,Hamburger SV,34,8,7,19,29,53,31,36.039135210000005,7.039135210000005,32.102161210000006,54.05785129999999,1.0578512999999887,51.02674729999999,-18.92458609,9.74350394210997,8.159852639939082,190,216,38.586299999999994,7.586299999999994
Bundesliga,2017,18,FC Cologne,34,5,7,22,35,70,22,41.500611000000006,6.500611000000006,39.22728000000001,67.16922300000002,-2.8307769999999834,60.34924300000001,-21.121963,12.323152280277487,10.489036190145132,208,245,32.18299999999999,10.182999999999993
Bundesliga,2018,1,Bayern Munich,34,24,6,4,88,32,78,92.24085700000002,4.24085700000002,89.20990700000002,27.4123437,-4.587656299999999,22.865761100000004,66.3441459,8.642572553455787,30.236540574321232,435,89,82.00300000000001,4.003000000000014
Bundesliga,2018,2,Borussia Dortmund,34,23,7,4,81,44,76,64.99440200000001,-16.005597999999992,61.963291999999996,42.875457,-1.1245430000000027,39.08664099999999,22.876651000000003,14.560877751347856,15.574331564989079,268,159,62.854000000000006,-13.145999999999994
Bundesliga,2018,3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.24640599999998,5.246405999999979,62.94214399999998,39.653422000000006,10.653422000000006,35.10698800000001,27.835156,10.663369039353789,10.54746878770609,245,160,63.056700000000006,-2.9432999999999936
Bundesliga,2018,4,Bayer Leverkusen,34,18,4,12,69,52,58,61.48967199999999,-7.510328000000008,57.70110540000001,45.71042799999999,-6.289572000000007,41.163764999999984,16.5373404,10.264005618192169,15.042458978643568,288,165,57.401999999999994,-0.5980000000000061
Bundesliga,2018,5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.92618900000001,-0.07381099999999208,49.519472,52.86834499999999,10.86834499999999,50.595009,-1.0755369999999997,16.613169983090764,18.875893984673272,237,227,51.3782,-3.6218000000000004
Bundesliga,2018,6,Wolfsburg,34,16,7,11,62,50,55,49.49094099999999,-12.509059000000008,45.702556,49.835679000000006,-0.16432099999999394,45.194779,0.5077769999999999,10.774149849533998,13.034452582184933,181,182,47.03530000000001,-7.9646999999999935
Bundesliga,2018,7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84249300000001,1.8424930000000117,58.81138000000001,51.017874,3.017873999999999,50.260093999999995,8.551286,11.38740030275643,10.680012207908398,178,217,54.37570000000001,0.375700000000009
Bundesliga,2018,8,Werder Bremen,34,14,11,9,58,49,53,49.360428999999996,-8.639571000000004,46.32931,56.70904,7.709040000000002,52.920239,-6.590929000000001,11.856144790011268,15.16784381961853,233,206,44.36279999999999,-8.637200000000007
Bundesliga,2018,9,Hoffenheim,34,13,12,9,70,52,51,79.954644,9.954644000000002,74.650372,53.288005,1.2880049999999983,47.983984,26.666387999999994,9.062837225379196,13.833265466365471,308,239,62.95599999999999,11.955999999999989
Bundesliga,2018,10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.474933,0.47493300000000005,44.170747,63.063520000000004,-1.936479999999996,57.759085,-13.588337999999993,17.284161963000383,10.344535979810232,163,223,39.2058,-4.7941999999999965
Bundesliga,2018,11,Hertha Berlin,34,11,10,13,49,57,43,50.520191999999994,1.5201919999999944,47.48907999999999,61.58314800000001,4.583148000000008,57.036979,-9.547898999999997,12.126609539600524,12.111640071398453,194,252,41.9502,-1.0497999999999976
Bundesliga,2018,12,Mainz 05,34,12,7,15,46,57,43,49.214245000000005,3.2142450000000053,46.941165,62.80341099999998,5.803410999999983,59.772790999999984,-12.831625999999998,14.183304967594417,10.580645158882351,211,244,39.3397,-3.6602999999999994
Bundesliga,2018,13,Freiburg,34,8,12,14,46,61,36,41.225196,-4.774804000000003,36.584205,61.429391999999986,0.4293919999999858,56.12494499999998,-19.54074,14.873624937246412,11.06321229552573,141,249,35.6689,-0.3310999999999993
Bundesliga,2018,14,Schalke 04,34,8,9,17,37,55,33,46.618306999999994,9.618306999999994,39.79839799999999,51.93916300000001,-3.0608369999999923,47.392663000000006,-7.594264999999999,11.942048325079872,8.96341887316962,168,184,44.15759999999999,11.157599999999988
Bundesliga,2018,15,Augsburg,34,8,8,18,51,71,32,47.443577000000005,-3.5564229999999952,43.65493400000001,63.79156999999999,-7.208430000000007,62.173739999999995,-18.518805999999998,11.91881708253246,11.325131883623337,182,266,37.0815,5.081499999999998
Bundesliga,2018,16,VfB Stuttgart,34,7,7,20,32,70,28,37.3775347,5.377534699999998,36.619756699999996,62.69824799999999,-7.301752000000008,60.424927999999994,-23.805171299999994,14.468857258758288,10.838292902221317,153,260,31.9873,3.987300000000001
Bundesliga,2018,17,Hannover 96,34,5,6,23,31,71,21,34.808797,3.8087969999999984,32.53547,73.12036599999999,2.12036599999999,67.81601500000001,-35.280545000000004,18.07376549161944,9.462546960460609,157,309,25.205499999999997,4.205499999999997
Bundesliga,2018,18,Nuernberg,34,3,10,21,26,68,19,35.37174299999999,9.371742999999988,30.825158000000002,54.801145999999996,-13.198854000000004,51.77004600000001,-20.94488799999999,20.304274836579378,11.318299423630194,148,259,35.1158,16.1158
EPL,2014,1,Chelsea,38,26,9,3,73,32,87,68.64332,-4.356679999999997,64.740402,31.524344099999997,-0.47565590000000313,29.2408351,35.4995669,10.942027381600568,13.419519874764763,407,171,75.3172,-11.6828
EPL,2014,2,Manchester City,38,24,7,7,83,38,79,75.81544099999999,-7.184559000000007,69.60909099999998,40.499403,2.499403000000001,37.454762,32.154329,7.982490329660707,15.076978650180658,575,144,73.0982,-5.901799999999994
EPL,2014,3,Arsenal,38,22,9,7,71,36,75,69.80259099999999,-1.1974090000000075,64.474404,35.718825,-0.2811749999999975,33.435352,31.039052,8.660595632132885,13.254168602983583,398,171,75.17399999999999,0.17399999999999238
EPL,2014,4,Manchester United,38,20,10,8,62,37,70,54.206860000000006,-7.793139999999994,50.401013,39.84234699999999,2.8423469999999895,36.79770199999999,13.603311,7.648714692806585,15.521976787390887,267,194,63.03269999999999,-6.967300000000009
EPL,2014,5,Tottenham,38,19,7,12,58,53,64,52.385284,-5.614716000000001,48.42701399999999,57.04414800000001,4.044148000000007,51.59893799999999,-3.1719240000000006,8.000236627612955,11.300693754755406,210,232,48.936099999999996,-15.063900000000004
EPL,2014,6,Liverpool,38,18,8,12,52,48,62,51.69722599999999,-0.30277400000000654,47.13021,38.249721,-9.750278999999999,35.8294,11.30081,9.913851388098657,12.121980998480746,306,201,61.1673,-0.8327000000000027
EPL,2014,7,Southampton,38,18,6,14,54,33,60,54.965667,0.9656670000000034,52.682172,39.11352,6.113520000000001,37.591178,15.090993999999995,9.259539710213556,14.879479078026922,270,183,62.816600000000015,2.8166000000000153
EPL,2014,8,Swansea,38,16,8,14,46,49,56,40.90123500000002,-5.098764999999979,39.378900000000016,55.94297000000001,6.94297000000001,54.42063400000001,-15.041733999999996,12.826740899371346,11.455201408936118,156,310,43.31670000000002,-12.683299999999981
EPL,2014,9,Stoke,38,15,9,14,48,45,54,46.260597000000004,-1.7394029999999958,43.977084000000005,47.03066200000001,2.0306620000000066,43.22488200000001,0.7522019999999996,10.40575295380508,10.601439594262885,195,239,51.97149999999999,-2.028500000000008
EPL,2014,10,Crystal Palace,38,13,9,16,47,51,48,44.756682999999995,-2.2433170000000047,40.05290899999999,45.484365000000004,-5.515634999999996,40.820304000000014,-0.7673950000000004,11.577050645893948,6.582147901642835,180,258,50.55699999999998,2.556999999999981
EPL,2014,11,West Ham,38,12,11,15,44,47,47,46.687234,2.6872339999999966,45.164894,57.402133,10.402133,53.443827000000006,-8.278933,12.042642603421287,8.433845139416723,217,316,47.21779999999999,0.21779999999998978
EPL,2014,12,Everton,38,12,11,15,48,50,47,44.888185,-3.111815,39.560085,46.182073,-3.8179269999999974,43.13739999999999,-3.5773150000000005,10.43277394405528,11.682677279666661,259,245,50.91050000000001,3.910500000000013
EPL,2014,13,West Bromwich Albion,38,11,11,16,38,51,44,38.62772909999999,0.6277290999999892,34.8219141,53.748535999999994,2.7485359999999943,48.420396,-13.5984819,13.545803277440628,9.869703280033864,161,283,44.735899999999994,0.7358999999999938
EPL,2014,14,Leicester,38,11,8,19,46,55,41,48.206400999999985,2.2064009999999854,45.161721,56.392116,1.3921160000000015,53.34743500000001,-8.185713999999999,10.22930804711766,8.019074496473403,191,287,44.64,3.6400000000000006
EPL,2014,15,Newcastle United,38,10,9,19,40,63,39,40.221385999999995,0.22138599999999542,39.46025100000001,51.014275,-11.985725000000002,47.96967500000001,-8.509424,10.422385092455874,8.840573949187506,175,239,45.63050000000001,6.630500000000012
EPL,2014,16,Aston Villa,38,10,8,20,31,57,38,33.102671,2.102671000000001,32.341501,49.706256,-7.293743999999997,46.661579,-14.320078000000004,16.38689216801628,11.065618930856424,184,237,40.8917,2.8917
EPL,2014,17,Sunderland,38,7,17,14,31,53,38,37.446152999999995,6.446152999999995,34.401475999999995,51.464371,-1.5356290000000001,48.41970500000001,-14.018228999999998,11.42130085028365,8.129491666829585,153,313,44.1821,6.182099999999998
EPL,2014,18,Hull,38,8,11,19,33,51,35,32.791033,-0.20896700000000124,32.029897999999996,46.99295699999999,-4.00704300000001,44.69685,-12.666952000000002,14.345146300011589,10.02113135209263,139,261,41.3213,6.321300000000001
EPL,2014,19,Burnley,38,7,12,19,28,53,33,39.372649,11.372649000000003,37.08914,57.88885599999999,4.88885599999999,54.08301299999998,-16.993872999999994,11.460925785093936,9.979095624616527,218,258,39.795899999999996,6.795899999999996
EPL,2014,20,Queens Park Rangers,38,8,6,24,42,73,30,45.72609100000002,3.726091000000018,41.907666000000006,65.262558,-7.7374420000000015,62.217878,-20.310212000000003,10.341797302694657,7.591177261189004,179,298,40.2773,10.277299999999997
EPL,2015,1,Leicester,38,23,12,3,68,36,81,68.416034,0.41603399999999624,58.520866999999996,45.019954000000006,9.019954000000006,41.975274,16.545593,10.099470860074694,8.602384307326625,217,275,68.9442,-12.055800000000005
EPL,2015,2,Arsenal,38,20,11,7,65,36,71,73.530928,8.530928000000003,72.00859299999999,33.8574794,-2.1425205999999974,33.09631340000001,38.91227959999999,8.785488141260954,12.218744440189766,467,192,77.00869999999999,6.00869999999999
